S1,S2,S3,S4,T1,T2,T3,T4
3374,1970,1653,3056,2457,1573,1386,2711
3036,1733,1481,2903,1804,1288,1185,2548
3659,1656,1382,3410,3137,1586,1353,3341
3628,1602,1336,3495,3188,1547,1302,3256
3418,1537,1183,3552,3102,1477,1208,3369
3445,1509,1089,3602,3074,1448,1165,3408
3522,1663,1315,3593,2985,1510,1170,3405
3512,1642,1291,3347,3166,1959,1581,3298
3103,1495,1300,3034,2720,1645,1377,2972
3148,1780,1691,3162,2732,1563,1382,2979
3346,1817,1552,3264,2812,1833,1618,3116
3525,2037,1694,3311,2808,1962,1685,3035
3563,2171,1770,3226,2692,1825,1595,2908
3475,1962,1625,3075,2494,1638,1438,2757
3499,1885,1575,3410,3188,1679,1374,3332
3514,1541,1212,3544,3118,1562,1277,3403
3341,1563,1162,3623,3003,1502,1204,3423
3336,1621,1296,3541,2996,1447,1143,3385
3130,1248,1090,3212,2498,1044,944,2751
3170,1142,1005,3218,2572,1168,1111,2844
2811,1475,1409,2732,2528,1604,1439,2891
3370,1790,1545,3285,2754,1813,1586,3002
3536,2020,1713,3203,2725,1739,1536,2886
3632,2067,1780,3094,2633,1641,1501,2790
3654,2119,1877,3106,2303,1678,1568,2887
3866,1955,1534,2928,2799,1790,1561,2481
3615,2122,1704,3005,2398,1657,1516,2309
2452,1670,1529,2522,1523,1220,1324,1919
3095,1223,1063,3160,2625,1093,989,2873
3123,1284,1226,3245,2613,1052,963,2914
2704,1429,1311,2829,1889,1438,1403,2525
3306,1777,1461,3165,2566,1610,1427,2782
3289,1632,1450,3205,2488,1571,1471,2763
3032,1606,1389,3001,1976,1366,1340,2404
2494,1457,1339,2810,2204,1413,1334,2592
3390,1734,1476,3264,2624,1582,1449,2978
3538,2071,1762,3310,2684,1805,1612,2976
3567,2381,1971,3337,2825,1913,1695,3008
3583,2149,1921,3328,2738,1864,1609,2828
3779,2173,1776,3083,3170,1948,1567,2773
3889,2154,1695,3225,3032,1964,1719,2814
3679,2083,1721,3179,2388,1643,1557,2575
3376,1710,1429,3217,2534,1551,1385,2792
3362,1710,1471,3225,2687,1727,1549,2998
3306,1586,1407,3164,2670,1594,1426,2955
3385,1586,1417,3254,2690,1555,1408,2852
3303,1651,1405,3148,2311,1458,1327,2738
3318,1686,1530,3125,2654,1542,1424,2898
3678,2004,1586,3316,3039,1934,1611,3092
3596,1901,1552,3268,2742,1663,1545,2821
3351,1610,1361,3211,2813,1726,1478,3075
3535,1569,1329,3351,2706,1609,1465,3029
3455,1605,1366,3281,2707,1557,1388,3022
3370,1638,1374,3286,2733,1575,1380,2995
3370,1605,1390,3292,2723,1551,1402,2978
3430,1679,1436,3263,2682,1594,1394,2969
3077,1722,1524,3050,2493,1557,1439,2849
3011,1532,1409,2870,2215,1565,1630,2299
3696,1723,1357,3272,2899,1564,1362,2893
3700,1743,1464,3413,3010,1666,1578,3075
3533,1940,1770,3272,2633,1926,1910,2929
3525,2002,1714,3231,3005,1816,1598,3069
3742,1939,1519,3313,2932,1721,1492,3010
3754,2095,1745,3342,2874,1659,1440,2992
3679,2156,1929,3453,2666,1313,1261,2975
3373,1648,1391,3302,2850,1582,1384,3168
3562,1557,1286,3412,2781,1566,1396,3100
3489,1629,1383,3330,2700,1572,1414,3056
3380,1640,1399,3274,2665,1559,1413,3014
3432,1746,1459,3242,2730,1575,1432,3010
3366,1782,1503,3159,2546,1582,1486,2823
3369,1917,1486,3550,1831,1385,1244,2413
3448,2029,1564,3643,2111,1459,1278,2913
3659,1756,1568,4056,2699,1404,1252,2957
3732,1830,1426,3611,3157,1667,1355,3183
3677,1651,1361,3387,3083,1650,1387,3186
3767,1725,1423,3351,2994,1681,1527,3106
3804,2060,1665,3399,3009,1893,1598,3085
3859,2497,2065,3462,3002,1960,1693,3172
3496,1594,1283,3396,2763,1593,1402,3127
3460,1689,1393,3320,2698,1590,1401,3034
3470,1868,1418,3214,2712,1690,1455,2997
3458,1548,1384,3451,2705,1637,1442,3026
3317,1992,1642,3534,2170,1466,1265,2886
3283,1975,1686,3398,2086,1516,1355,2899
3832,1812,1692,3959,2983,1498,1194,3434
3685,1877,1329,3921,3061,1547,1247,3240
3615,1631,1382,3627,3107,1592,1348,3213
3696,1690,1380,3405,3149,1614,1375,3163
3482,2174,1913,3246,3085,1877,1632,3126
4048,2408,2010,3457,3188,2141,1916,3211
3240,1682,1432,3231,2798,1595,1398,3141
3454,1667,1343,3311,2759,1624,1390,3078
3740,1783,1423,3288,2826,1514,1330,2758
3864,1853,1518,3533,3232,1665,1464,3342
3738,1803,1566,3611,3046,1565,1311,3414
3843,1890,1522,3925,3063,1464,1227,3430
3455,1614,1263,3727,2932,1517,1215,3381
3715,1694,1347,3476,3061,1576,1361,3204
3748,1794,1510,3428,3170,1653,1402,3228
3765,1868,1511,3543,3107,1705,1468,3212
3891,1871,1493,3482,3344,1664,1379,3273
3851,1807,1499,3507,3253,1609,1368,3367
3885,1889,1470,3520,3280,1676,1358,3353
3818,1760,1520,3570,3132,1575,1353,3374
3710,1795,1401,3559,2975,1532,1279,3337
3704,1742,1488,3724,3075,1613,1369,3309
3828,1978,1589,3716,3096,1659,1355,3259
3779,1859,1485,3633,3082,1639,1344,3288
3872,1826,1419,3495,3281,1689,1415,3304
3859,1818,1488,3551,3206,1686,1467,3327
3878,1881,1515,3507,3174,1766,1446,3293
3882,1914,1649,4064,3028,1564,1316,3468
4012,2034,1609,4003,3102,1623,1328,3394
3854,1814,1439,3739,3132,1629,1273,3371
3961,2017,1361,3884,3258,1708,1255,3475
3943,1948,1555,4220,3073,1648,1298,3452
3447,1628,1314,3258,2723,1430,1242,2961
3345,1345,1124,3166,2946,1315,1156,3094
3431,1344,1157,3294,2912,1495,1418,3087
3336,1759,1551,3403,2396,1820,1826,3005
3937,1822,1488,3550,3256,1669,1465,3341
3846,1837,1426,3513,3286,1716,1470,3332
4005,1838,1524,3555,3219,1691,1491,3304
3931,1853,1529,3656,3139,1668,1389,3468
